"Author","Recs","LCS","GCS"
"Ghamisi P",6,21,399
"Hamza A",6,5,77
"Khan MA",6,5,77
"Liu Y",6,2,35
"Li J",5,0,160
"Li JY",5,1,28
"Wang HQ",5,0,15
"Zhu XX",5,22,624
"Gaetano R",4,8,339
"Hong DF",4,0,864
"Ienco D",4,8,339
"Li Q",4,3,181
"Li Y",4,1,45
"Li YS",4,3,85
"Qin WH",4,0,13
"Shi WP",4,0,13
"Stein A",4,1,113
"Wang LZ",4,4,148
"Wang XY",4,1,155
"Wu LF",4,0,14
"Zhang B",4,0,321
"Chanussot J",3,0,825
"Chen H",3,1,67
"Chen L",3,0,35
"Huang X",3,1,16
"Li DW",3,1,6
"Li DX",3,2,37
"Li W",3,6,196
"Li X",3,0,12
"Lin HF",3,4,53
"Liu B",3,0,96
"Liu P",3,0,24
"Nam Y",3,1,18
"Persello C",3,1,107
"Schmitt M",3,6,405
"Wang HJ",3,0,11
"Wang HY",3,1,53
"Wang J",3,0,139
"Xie WY",3,2,37
"Yang J",3,0,13
"Yokoya N",3,22,381
"Yu AZ",3,0,87
"Yun ZH",3,0,7
"Zhang Q",3,3,297
"Zhang RF",3,1,6
"Zhou J",3,3,22
"Zhu DH",3,0,170
"Zhuang Y",3,1,67
"Alalwan N",2,3,23
"Albarakati HM",2,2,43
"Alhammadi DA",2,0,11
"Ali A",2,0,2
"Alzahrani AI",2,3,23
"Ayhan B",2,1,68
"Bechtel B",2,6,171
"Bergado JR",2,1,78
"Bhatti MK",2,0,11
"Cao R",2,3,297
"Cerra D",2,17,269
"Chen A",2,0,10
"Chen PD",2,1,5
"Chen WT",2,0,69
"Chen Y",2,0,45
"Dong S",2,1,62
"Du Q",2,6,235
"Du XQ",2,5,87
"Fan RY",2,4,79
"Fang LY",2,2,35
"Feng QL",2,0,166
"Ge HM",2,0,3
"Gloaguen R",2,1,2
"Gong JY",2,0,22
"Guan HY",2,2,70
"He XY",2,0,13
"Hu QW",2,0,19
"Huang H",2,1,32
"Hussain KM",2,0,2
"Hänsch R",2,20,310
"Jahan F",2,3,21
"Jenssen R",2,4,55
"Joshi GP",2,0,35
"Kampffmeyer M",2,4,55
"Kuang GY",2,0,56
"Kwan C",2,1,68
"Le Saux B",2,22,374
"Lei L",2,0,56
"Li BG",2,0,166
"Li K",2,0,7
"Li QQ",2,3,297
"Li XJ",2,0,69
"Li ZW",2,0,58
"Liu MQ",2,0,3
"Liu R",2,3,33
"Liu TY",2,0,0
"Liu X",2,2,26
"Lu YB",2,1,31
"Ma J",2,0,13
"Maimaitijiang M",2,0,180
"Minh DHT",2,8,263
"Pan HZ",2,0,3
"Plaza A",2,0,109
"Qiu GP",2,3,297
"Rasti B",2,2,51
"Ren YR",2,1,5
"Rizaldy A",2,1,2
"Roy SK",2,0,130
"Salberg AB",2,4,55
"Sang QB",2,1,34
"Shao ZF",2,0,15
"Shen HF",2,0,54
"Shi CP",2,1,4
"Shi H",2,0,19
"Tu W",2,3,297
"Wang B",2,1,27
"Wang CJ",2,0,43
"Wang CY",2,0,13
"Wang F",2,0,6
"Wang GY",2,0,13
"Wang L",2,0,3
"Wang SX",2,2,26
"Wang SY",2,0,14
"Wang Y",2,0,36
"Wang YP",2,0,19
"Weng LG",2,0,16
"Xia M",2,0,16
"Xue ZX",2,0,73
"Yang H",2,0,28
"Yang JY",2,0,166
"Yang ZW",2,0,6
"Yao J",2,3,349
"Yu HY",2,0,1
"Yu L",2,1,136
"Yu XC",2,0,73
"Yu YT",2,2,70
"Zhang EW",2,0,15
"Zhang HK",2,0,9
"Zhang HS",2,6,73
"Zhang LP",2,17,281
"Zhang M",2,0,10
"Zhang MM",2,6,196
"Zhang PQ",2,0,73
"Zhang TX",2,0,8
"Zhang XH",2,4,101
"Zhang Z",2,0,11
"Zhang ZJ",2,0,28
"Zhao JH",2,0,16
"Zhao KY",2,0,2
"Zhao T",2,0,6
"Zheng K",2,1,12
"Zhong LH",2,2,40
"Zhong YF",2,0,38
"Zhou FH",2,0,14
"Zhu JS",2,3,297
"Zuo XB",2,2,26
"Aakur S",1,0,0
"Abirami G",1,0,0
"Abnane I",1,0,4
"Abraham A",1,0,0
"Afif AJ",1,1,2
"Ahmad M",1,0,63
"Ahmed T",1,0,0
"Ai MY",1,0,17
"Al-Khalidi M",1,3,15
"Al-Najjar HAH",1,0,146
"Alabdan R",1,0,0
"Alabdullah B",1,0,0
"AlAqil MA",1,0,0
"Alasiry A",1,1,7
"Alenezi F",1,0,35
"Aleryani A",1,0,4
"Algamdi SA",1,0,7
"Alharbi RM",1,0,0
"Alipour A",1,0,21
"Almofarreh M",1,0,0
"Almuqren L",1,1,36
"Alouane MTH",1,0,4
"Alroobaea R",1,1,36
"Alshahrani A",1,0,0
"Alshardan A",1,1,7
"Amirtharajan R",1,0,1
"An K",1,0,0
"Anderson DT",1,0,6
"Anh VD",1,0,1
"Anitha V",1,0,0
"Anjum T",1,0,0
"Antunes JFG",1,0,6
"Arasi MA",1,0,0
"Arenas D",1,1,18
"Arishi A",1,0,7
"Arndt J",1,0,3
"Arun YNK",1,0,0
"Aspri M",1,0,18
"Attaher S",1,0,1
"Attai H",1,0,23
"Atzberger C",1,0,3
"Auer S",1,0,6
"Awrangjeb M",1,3,19
"Babapour G",1,0,2
"Bai C",1,0,33
"Bai JJ",1,0,1
"Bai SJ",1,0,0
"Bakrac S",1,0,11
"Banerjee B",1,1,13
"Bao BQ",1,0,1
"Barkatullah M",1,0,0
"Bayartungalag B",1,0,78
"Bayet T",1,1,59
"Belgiu M",1,0,6
"Belouadha FZ",1,0,0
"Benbriqa H",1,0,4
"Bernabe S",1,0,46
"Bhardwaj A",1,0,0
"Bhatt A",1,0,8
"Bhatt VT",1,0,8
"Bian JH",1,0,4
"Bilal M",1,0,45
"Bispo PD",1,0,0
"Biswas M",1,0,31
"Blake D",1,0,2
"Bosco MJ",1,0,6
"Bowman J",1,0,3
"Brandmeier M",1,0,23
"Brindha R",1,0,0
