"Institution","Recs","LCS","GCS"
"Wuhan Univ",24,22,711
"Chinese Acad Sci",22,9,1378
"Nanjing Univ Informat Sci & Technol",10,8,343
"Xidian Univ",10,3,142
"China Univ Geosci",9,4,246
"Univ Chinese Acad Sci",8,9,562
"Peking Univ",7,1,131
"Tsinghua Univ",7,1,144
"German Aerosp Ctr DLR",6,31,810
"HITEC Univ",6,5,77
"Informat Engn Univ",6,3,175
"Southeast Univ",6,0,333
"Tech Univ Munich",6,25,1147
"Beijing Inst Technol",5,6,665
"King Khalid Univ",5,2,54
"Minist Educ",5,1,35
"Minist Nat Resources",5,0,39
"Natl Univ Def Technol",5,0,156
"Princess Nourah bint Abdulrahman Univ",5,2,50
"Beijing Key Lab Embedded Real Time Informat Proc",4,1,81
"Chengdu Univ Technol",4,0,14
"Chinese Univ Hong Kong",4,4,252
"RIKEN",4,22,527
"Southwest Med Univ",4,0,14
"Sun Yat Sen Univ",4,1,28
"Univ Elect Sci & Technol China",4,0,78
"Univ Montpellier",4,8,339
"Univ Tokyo",4,5,158
"Univ Twente",4,1,113
"Xi An Jiao Tong Univ",4,0,27
"Zhengzhou Univ",4,0,38
"Fuzhou Univ",3,0,51
"Griffith Univ",3,3,44
"Henan Polytech Univ",3,1,18
"Hubei Univ",3,0,25
"King Saud Univ",3,3,23
"Lanzhou Univ",3,2,14
"Lebanese Amer Univ",3,4,59
"Nanjing Forestry Univ",3,4,53
"Nanjing Univ",3,0,23
"North Univ China",3,1,6
"Northwestern Polytech Univ",3,0,76
"Qiqihar Univ",3,1,6
"Soonchunhyang Univ",3,1,18
"Univ Extremadura",3,0,176
"Univ Grenoble Alpes",3,0,825
"Univ Hong Kong",3,4,72
"Univ Sci & Technol Beijing",3,0,11
"Univ Waterloo",3,2,71
"Vellore Inst Technol",3,0,36
"Zhejiang Univ",3,0,27
"Anhui Univ",2,0,60
"Ant Grp",2,2,40
"Beijing Forestry Univ",2,0,7
"Cent China Normal Univ",2,1,37
"Cent South Univ",2,0,22
"China Agr Univ",2,0,166
"China Univ Geosci Beijing",2,0,19
"Chongqing Univ",2,1,32
"Commun Univ China",2,1,62
"Dalian Maritime Univ",2,0,1
"Emory Univ",2,0,15
"Free Univ Berlin",2,1,2
"Helmholtz Inst Freiberg Resource Technol",2,0,91
"Helmholtz Zentrum Dresden Rossendorf HZDR",2,1,2
"Henan Univ",2,1,11
"Hohai Univ",2,0,16
"Huaiyin Inst Technol",2,2,70
"Hubei Luojia Lab",2,0,10
"Hunan Univ",2,2,35
"Huzhou Univ",2,1,4
"Inst Global Environm Strategies",2,0,170
"Jalpaiguri Govt Engn Coll",2,0,130
"JinXi Ind Grp CO LTD",2,0,0
"Kangwon Natl Univ",2,0,1
"Key Lab Smart Earth",2,0,0
"Mapping Inst Gansu Prov",2,1,5
"Mississippi State Univ",2,6,235
"Northeastern Univ",2,0,15
"Norwegian Comp Ctr",2,4,55
"PLA Strateg Support Force Informat Engn Univ",2,0,40
"Prince Mohammad bin Fahd Univ",2,0,11
"Remote Sensing Technol Inst",2,0,10
"Sejong Univ",2,0,181
"Shanghai Jiao Tong Univ",2,0,3
"Shenzhen Univ",2,3,297
"SRM Inst Sci & Technol",2,0,0
"Tech Univ Berlin",2,20,310
"Tech Univ Munich TUM",2,2,80
"UiT Arctic Univ Norway",2,4,55
"Umm Al Qura Univ",2,2,43
"Univ Hamburg",2,5,112
"Univ Isfahan",2,0,12
"Univ Nottingham",2,3,297
"Univ Nottingham Ningbo China",2,3,297
"Univ Oklahoma",2,0,10
"Univ Paris Saclay",2,22,374
"Univ Tehran",2,0,97
"Univ Wyoming",2,0,10
"Aditya Univ",1,0,0
"Adv Data Proc Res Inst",1,0,13
"Agr Res Ctr ARC",1,0,1
"AGT Int",1,5,111
"Al Maarefa Univ",1,0,35
"Alipurduar Govt Engn & Management Coll",1,0,67
"Anhui Ecoenvironm Monitoring Ctr",1,0,18
"Anhui Engn Res Ctr Geog Informat Intelligent Tech",1,0,18
"Appl Innovat Ctr AIC",1,0,1
"Appl Res LLC",1,0,46
"AVIC Shenyang Aircraft Design Res Inst",1,0,1
"Beijing Elect Sci & Technol Inst",1,1,48
"Beijing Inst Comp Technol & Applicat",1,0,3
"Beijing Jiaotong Univ",1,0,7
"Beijing Normal Univ",1,0,12
"Beijing Shen Xin Da Cheng Technol Co Ltd",1,0,13
"Beijing Univ Chem Technol",1,0,0
"Beijing Univ Civil Engn & Architecture",1,0,13
"Beijing Univ Technol",1,0,11
"Belarusian State Univ Informat & Radioelect BSUIR",1,5,81
"Bharati Vidyapeeths Coll Engn BVCOE",1,1,4
"Brazilian Agr Res Corp",1,0,6
"Brunel Univ",1,0,23
"BTechn Univ Darmstadt",1,0,4
"C CORE",1,0,95
"Cairo Univ",1,0,1
"Canada Ctr Mapping & Earth Observat",1,0,95
"CCCC Second Highway Consultants Co Ltd",1,0,18
"Cent Queensland Univ",1,0,2
"Changsha Normal Univ",1,0,0
"Chengdu Med Coll",1,0,6
"Chiba Univ",1,0,8
"China & Innovat Ctr GPU & Intelligent Comp Syst Te",1,0,0
"China Acad Space Technol Xian",1,0,6
"China Aero Geophys Survey & Remote Sensing Ctr Na",1,0,0
"China Air Separat Engn Co Ltd",1,0,14
"China Ctr Resources Satellite Data & Applicat",1,0,1
"China Inst Geotech Invest & Surveying",1,0,13
"China Mobile Chengdu Ind Res & Dev",1,0,0
