"Journal","Recs","LCS","GCS"
"REMOTE SENSING",44,0,1246
"IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING",40,71,1204
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING",29,6,1649
"INTERNATIONAL JOURNAL OF REMOTE SENSING",10,7,139
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING",10,22,870
"INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION",8,0,174
"IEEE ACCESS",6,2,131
"IEEE GEOSCIENCE AND REMOTE SENSING LETTERS",5,8,605
"SCIENTIFIC REPORTS",5,0,3
"SENSORS",5,0,183
"APPLIED SCIENCES-BASEL",4,0,3
"ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION",4,0,97
"JOURNAL OF APPLIED REMOTE SENSING",4,0,19
"2021 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS",3,1,4
"IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY",3,3,83
"JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING",3,1,7
"LAND",3,0,5
"SIGNAL IMAGE AND VIDEO PROCESSING",3,0,5
"2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022)",2,0,7
"APPLIED SOFT COMPUTING",2,0,5
"EARTH SCIENCE INFORMATICS",2,1,10
"ELECTRONICS",2,0,11
"FRONTIERS IN ENVIRONMENTAL SCIENCE",2,0,18
"GEO-SPATIAL INFORMATION SCIENCE",2,0,58
"GISCIENCE & REMOTE SENSING",2,0,45
"IGARSS 2018 - 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM",2,0,27
"JOURNAL OF NONLINEAR AND CONVEX ANALYSIS",2,0,0
"LASER & OPTOELECTRONICS PROGRESS",2,0,10
"MEASUREMENT",2,0,21
"PLOS ONE",2,0,10
"REMOTE SENSING OF ENVIRONMENT",2,0,156
"SUSTAINABLE CITIES AND SOCIETY",2,0,21
"2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS)",1,1,8
"2018 10TH IAPR WORKSHOP ON PATTERN RECOGNITION IN REMOTE SENSING (PRRS)",1,0,0
"2018 IEEE APPLIED IMAGERY PATTERN RECOGNITION WORKSHOP (AIPR)",1,0,0
"2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2019)",1,0,15
"2020 25TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR)",1,0,35
"2022 IEEE INTERNATIONAL SYMPOSIUM ON TECHNOLOGIES FOR HOMELAND SECURITY (HST)",1,0,0
"2023 IEEE 98TH VEHICULAR TECHNOLOGY CONFERENCE, VTC2023-FALL",1,0,0
"2023 INTERNATIONAL CONFERENCE ON COMPUTER, ELECTRICAL & COMMUNICATION ENGINEERING, ICCECE",1,0,0
"2024 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2024)",1,1,2
"2025 9TH INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION SCIENCES, ICRAS",1,0,0
"2025 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL PROCESSING (ICASSP)",1,0,0
"ACTA OPTICA SINICA",1,0,0
"ADVANCES IN NEURAL NETWORKS, PT I",1,1,22
"AOPC 2021: OPTICAL SENSING AND IMAGING TECHNOLOGY",1,0,0
"ARTIFICIAL INTELLIGENCE REVIEW",1,0,2
"BIG DATA, IOT, AND AI FOR A SMARTER FUTURE",1,1,59
"CANADIAN JOURNAL OF REMOTE SENSING",1,0,0
"COMPUTATIONAL SCIENCE AND ITS APPLICATIONS, ICCSA 2021, PT III",1,0,4
"COMPUTER SCIENCE AND INFORMATION SYSTEMS",1,0,6
"EARTH RESOURCES AND ENVIRONMENTAL REMOTE SENSING/GIS APPLICATIONS XIII",1,0,4
"EGYPTIAN JOURNAL OF REMOTE SENSING AND SPACE SCIENCES",1,0,0
"ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH",1,0,3
"EUROPEAN JOURNAL OF REMOTE SENSING",1,0,1
"IEEE SENSORS JOURNAL",1,0,1
"IEEE TRANSACTIONS ON CYBERNETICS",1,6,196
"IET RADAR SONAR AND NAVIGATION",1,0,3
"IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM",1,0,3
"INFORMATION FUSION",1,0,1
"INFORMATION PROCESSING AND MANAGEMENT OF UNCERTAINTY IN KNOWLEDGE-BASED SYSTEMS, IPMU 2020, PT III",1,0,6
"INFORMATION SCIENCES",1,0,24
"INTELLIGENT SYSTEMS DESIGN AND APPLICATIONS, ISDA 2021",1,0,0
"ISPRS OPEN JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING",1,0,6
