id	author	documents	citations	total link strength
109	"chanussot, jocelyn"	3	825	33
230	"gaetano, raffaele"	4	339	7
242	"ghamisi, pedram"	6	399	23
274	"hamza, ameer"	6	77	18
301	"hong, danfeng"	4	864	41
338	"ienco, dino"	4	339	7
382	"khan, muhammad attique"	6	77	18
415	"li, daixun"	3	37	15
416	"li, dawei"	3	6	3
448	"li, wei"	3	196	8
462	"li, yunsong"	4	85	17
470	"lin, haifeng"	3	53	8
492	"liu, peng"	3	24	2
506	"liu, yi"	3	29	0
604	"nam, yunyoung"	3	18	10
650	"persello, claudio"	3	107	3
669	"qin, wenhu"	4	13	6
722	"schmitt, michael"	3	405	3
746	"shi, weipeng"	4	13	6
765	"stein, alfred"	4	113	3
844	"wang, huajun"	3	11	6
847	"wang, huiqing"	4	14	8
859	"wang, lizhe"	4	148	2
929	"xie, weiying"	3	37	15
988	"yokoya, naoto"	3	381	9
992	"yu, anzhu"	3	87	5
1007	"yun, zhonghua"	3	7	4
1016	"zhang, bing"	3	318	15
1043	"zhang, ruifang"	3	6	3
1103	"zhou, jun"	3	22	7
1128	"zhu, xiao xiang"	5	624	11
1129	"zhuang, yin"	3	67	0
