document id	cited reference id	frequency
2	3351	1
2	4699	1
3	649	1
3	5022	1
5	7582	1
6	6581	1
7	1302	1
7	3283	1
8	3060	1
8	3351	1
8	4131	1
8	6581	1
8	7582	1
9	9708	1
10	3060	1
11	3283	1
11	3351	1
11	8555	1
11	9708	1
12	649	1
12	1732	1
12	6581	1
12	7056	1
12	9421	1
13	649	1
13	1302	1
13	3060	1
13	4131	1
13	6581	1
13	9421	1
15	1300	1
15	6581	1
18	1931	1
18	2973	1
18	3209	1
18	3213	1
18	3214	1
18	4071	1
18	4699	1
18	5616	1
18	7743	1
18	8353	1
18	8555	1
18	8763	1
19	3209	1
19	3283	1
19	5022	1
19	6581	1
19	8353	1
19	9708	1
20	1300	1
20	1302	1
20	3060	1
20	4071	1
20	5022	1
20	6581	1
20	9421	1
20	9708	1
21	1931	1
21	3060	1
21	7743	1
22	1300	1
22	1302	1
22	6581	1
23	1302	1
23	3060	1
23	3209	1
23	4131	1
23	8555	1
23	9708	1
24	3209	1
24	3213	1
24	3215	1
24	3283	1
24	9708	1
25	3351	1
26	6581	1
28	9708	1
29	649	1
29	1300	1
29	5022	1
29	6581	1
29	7582	1
30	7743	1
31	1931	1
31	2973	1
31	3215	1
31	5616	1
31	8555	1
33	8555	1
34	649	1
34	1300	1
34	1302	1
34	6581	1
34	9421	1
35	1302	1
35	3060	1
35	4131	1
35	6581	1
35	9421	1
36	1931	1
39	649	1
39	1300	1
39	1302	1
39	3283	1
39	3361	1
39	4071	1
39	5022	1
39	6581	1
39	7056	1
39	9421	1
40	3209	1
40	5616	1
40	8555	1
41	4131	1
41	9708	1
42	3213	1
42	3215	1
43	4699	1
44	3060	1
44	6581	1
44	7056	1
45	3283	1
46	1732	1
46	9708	1
48	1732	1
48	1931	1
48	2973	1
48	7743	1
48	8763	1
49	6581	1
50	1302	1
50	3209	1
50	8555	1
50	9421	1
51	7582	1
52	1302	1
52	3283	1
52	5022	1
52	6581	1
52	7582	1
52	9421	1
53	3060	1
53	3283	1
53	5616	1
53	6581	1
53	8763	1
54	2973	1
54	5616	1
54	8555	1
55	3060	1
55	3361	1
56	3060	1
56	3361	1
58	1931	1
59	649	1
59	1300	1
59	1302	1
59	3283	1
59	6581	1
59	7056	1
59	7743	1
59	9421	1
60	1732	1
60	4071	1
60	4699	1
61	4131	1
62	4071	1
63	4131	1
63	9708	1
64	3209	1
64	4071	1
64	4131	1
64	9708	1
65	7743	1
66	3215	1
66	7743	1
67	3351	1
67	3361	1
67	6581	1
67	9708	1
68	1302	1
68	5022	1
68	6581	1
68	9421	1
69	1732	1
69	3213	1
71	4071	1
71	4131	1
71	7056	1
72	2973	1
72	3060	1
72	3209	1
72	7056	1
72	7743	1
73	9708	1
74	3361	1
74	4071	1
75	1732	1
75	2973	1
75	3214	1
75	3215	1
76	4071	1
77	3060	1
78	649	1
78	1302	1
78	3060	1
78	3283	1
78	3361	1
78	4131	1
78	5022	1
78	6581	1
78	7056	1
78	7743	1
78	9421	1
81	4071	1
82	3209	1
82	3215	1
82	7743	1
83	1300	1
83	1931	1
83	6581	1
83	7582	1
83	9421	1
84	3213	1
84	7582	1
85	4131	1
85	9708	1
86	649	1
86	1302	1
86	3060	1
86	3209	1
86	6581	1
87	1732	1
87	5616	1
87	8555	1
88	649	1
88	1300	1
88	1302	1
88	3060	1
88	3283	1
88	6581	1
88	7743	1
88	9421	1
91	1300	1
91	3060	1
91	6581	1
91	9708	1
92	6581	1
93	6581	1
94	1732	1
95	7582	1
96	1732	1
97	5022	1
97	7056	1
98	8353	1
98	8763	1
99	1300	1
99	1302	1
99	3351	1
99	4071	1
99	4131	1
99	5022	1
99	7056	1
99	7582	1
99	9421	1
100	1300	1
100	6581	1
100	7582	1
102	3060	1
102	3351	1
102	3361	1
102	4071	1
103	1300	1
103	1302	1
103	3283	1
104	3060	1
104	3351	1
104	4699	1
104	7056	1
104	8555	1
106	3060	1
106	4131	1
107	1732	1
107	2973	1
107	3209	1
107	4699	1
107	5616	1
107	8555	1
108	649	1
108	1302	1
108	3060	1
108	3283	1
108	4071	1
108	6581	1
108	7056	1
109	3060	1
110	2973	1
110	4071	1
110	8555	1
111	3060	1
111	7056	1
112	2973	1
112	3213	1
112	3214	1
112	4699	1
113	3209	1
113	3213	1
113	3214	1
113	5616	1
113	8353	1
114	3060	1
114	6581	1
114	9708	1
115	649	1
115	1931	1
115	7582	1
115	8763	1
115	9421	1
116	4699	1
116	8555	1
118	3351	1
118	9708	1
121	3060	1
121	3209	1
121	3361	1
122	1931	1
122	4131	1
122	6581	1
124	1732	1
124	2973	1
124	3060	1
124	3209	1
124	3213	1
124	3214	1
124	4071	1
124	4131	1
124	5616	1
124	7056	1
124	8353	1
124	8555	1
125	3361	1
125	4071	1
126	2973	1
126	3213	1
126	3214	1
126	3215	1
